name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock,player_img
Anderson Varejao,Golden State Warriors,2016-11-26,2016,2419,1610612744,400899694,1,1,15,0,Driving Finger Roll Layup Shot,2PT Field Goal,2,Minnesota Timberwolves,-6,21,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-11-23,2016,2419,1610612744,400899673,4,0,55,1,Driving Floating Bank Jump Shot,2PT Field Goal,10,Los Angeles Lakers,-88,60,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-11-26,2016,2419,1610612744,400899694,1,0,16,1,Driving Floating Jump Shot,2PT Field Goal,6,Minnesota Timberwolves,-6,61,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-12-10,2016,2419,1610612744,400899793,1,10,4,0,Driving Layup Shot,2PT Field Goal,2,Memphis Grizzlies,24,2,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2017-02-02,2016,2419,1610612744,400899472,2,3,10,0,Fadeaway Jump Shot,2PT Field Goal,15,Los Angeles Clippers,-120,92,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2017-01-28,2016,2419,1610612744,400900128,4,0,19,1,Floating Jump shot,2PT Field Goal,9,Los Angeles Clippers,-73,66,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-11-10,2016,2419,1610612744,0,4,1,56,0,Hook Shot,2PT Field Goal,5,Denver Nuggets,58,7,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-11-03,2016,2419,1610612744,400899519,4,8,2,0,Layup Shot,2PT Field Goal,2,Oklahoma City Thunder,-17,21,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2017-02-01,2016,2419,1610612744,400899435,3,6,0,1,Tip Layup Shot,2PT Field Goal,1,Charlotte Hornets,5,14,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-12-10,2016,2419,1610612744,400899793,2,0,1,0,Tip Layup Shot,2PT Field Goal,0,Memphis Grizzlies,-1,2,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2016-12-20,2016,2419,1610612744,400899869,4,5,8,0,Tip Layup Shot,2PT Field Goal,0,Utah Jazz,0,-6,0,0,,0,0,./assets/anderson_varejao.png
Anderson Varejao,Golden State Warriors,2017-02-01,2016,2419,1610612744,400899435,3,1,54,0,Turnaround Hook Shot,2PT Field Goal,7,Charlotte Hornets,19,72,0,0,,0,0,./assets/anderson_varejao.png
Andre Iguodala,Golden State Warriors,2016-11-03,2016,2386,1610612744,400899519,2,10,51,0,Alley Oop Dunk Shot,2PT Field Goal,1,Oklahoma City Thunder,-12,13,0,0,,0,0,./assets/andre_iguodala.png
Andre Iguodala,Golden State Warriors,2017-03-24,2016,2386,1610612744,400900476,3,2,35,0,Alley Oop Dunk Shot,2PT Field Goal,0,Sacramento Kings,0,1,0,0,,0,0,./assets/andre_iguodala.png
Andre Iguodala,Golden State Warriors,2016-10-25,2016,2386,1610612744,400899377,2,0,6,1,Alley Oop Dunk Shot,2PT Field Goal,0,San Antonio Spurs,0,1,0,0,,0,0,./assets/andre_iguodala.png
Andre Iguodala,Golden State Warriors,2016-11-03,2016,2386,1610612744,400899519,2,11,10,0,Alley Oop Layup shot,2PT Field Goal,1,Oklahoma City Thunder,-1,11,0,0,,0,0,./assets/andre_iguodala.png
